"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","19170","Successful login","","Wed Sep 24 15:37:45 ICT 2025","passed","Wed Sep 24 15:38:04 ICT 2025","","Master Flow Feature","Successful login",""
"","23177","Successful login","","Wed Sep 24 15:37:21 ICT 2025","passed","Wed Sep 24 15:37:44 ICT 2025","","Login Functionality","Successful login",""
